checklist_item_id,action_id,task_type,task_description,severity,status,assigned_to
CHK-52F0804B,ACT-0042,assign_approver,Assign approver for Open-Item Tracker,high,open,openclaw
CHK-306F0699,ACT-0045,assign_approver,Assign approver for Follow-Up Scheduling,high,open,openclaw
CHK-4A77F95C,ACT-0027,approve_action,Review and approve Project Milestone Slippage Detection,low,open,openclaw
CHK-9962B522,ACT-0047,approve_action,Review and approve Energy Market Data Digest,low,open,openclaw
CHK-A8912902,ACT-0039,assign_approver,Assign approver for Inbox Zero Routing,high,open,openclaw
CHK-177CF084,ACT-0034,assign_approver,Assign approver for Note Organization,high,open,openclaw
CHK-6C63AA55,ACT-0018,approve_action,Review and approve Budget Variance Alert,low,open,openclaw
CHK-789F0928,ACT-0048,approve_action,Review and approve Competitive Intelligence Monitoring,low,open,openclaw
CHK-3DD6AE76,ACT-0040,approve_action,Review and approve File Naming and Routing Standards,low,open,openclaw
CHK-C2B888A9,ACT-0049,assign_approver,Assign approver for Expense Report Reminder,high,open,openclaw
CHK-58E8CD37,ACT-0051,define_trigger,Define trigger condition for Real-Time Project Dashboard Generation,high,open,
CHK-A4AAEC21,ACT-0051,assign_owner,Assign owner for Real-Time Project Dashboard Generation,high,open,
CHK-CD5F4689,ACT-0051,define_success_metric,Define success metric for Real-Time Project Dashboard Generation,medium,open,
CHK-3CB3A40A,ACT-0052,define_trigger,Define trigger condition for Vendor Performance Scorecard,high,open,
CHK-B2E9A5B2,ACT-0052,assign_owner,Assign owner for Vendor Performance Scorecard,high,open,
CHK-1E6183BF,ACT-0052,define_success_metric,Define success metric for Vendor Performance Scorecard,medium,open,
CHK-1DF13209,ACT-0053,define_trigger,Define trigger condition for Monthly Financial Close Checklist,high,open,
CHK-E60BE587,ACT-0053,assign_owner,Assign owner for Monthly Financial Close Checklist,high,open,
CHK-1BE9924E,ACT-0053,define_success_metric,Define success metric for Monthly Financial Close Checklist,medium,open,
CHK-97FEB6A5,ACT-0054,define_trigger,Define trigger condition for Board Meeting Prep Pack,high,open,
CHK-710C62F4,ACT-0054,assign_owner,Assign owner for Board Meeting Prep Pack,high,open,
CHK-B5DDC115,ACT-0054,define_success_metric,Define success metric for Board Meeting Prep Pack,medium,open,
CHK-F5BF9F89,ACT-0055,define_trigger,Define trigger condition for Due Diligence Room Organization,high,open,
CHK-8A2768C1,ACT-0055,assign_owner,Assign owner for Due Diligence Room Organization,high,open,
CHK-9093156F,ACT-0055,define_success_metric,Define success metric for Due Diligence Room Organization,medium,open,
CHK-6058BDBC,ACT-0056,define_trigger,Define trigger condition for New Contact Onboarding to CRM,high,open,
CHK-EE30B90C,ACT-0056,assign_owner,Assign owner for New Contact Onboarding to CRM,high,open,
CHK-FD045A25,ACT-0056,define_success_metric,Define success metric for New Contact Onboarding to CRM,medium,open,
CHK-9ECB01C8,ACT-0057,define_trigger,Define trigger condition for Lease Expiry Tracker,high,open,
CHK-0E6630C9,ACT-0057,assign_owner,Assign owner for Lease Expiry Tracker,high,open,
CHK-FE2EC244,ACT-0057,define_success_metric,Define success metric for Lease Expiry Tracker,medium,open,
CHK-947962D0,ACT-0058,define_trigger,Define trigger condition for Equipment Maintenance Reminder,high,open,
CHK-F1211BD5,ACT-0058,assign_owner,Assign owner for Equipment Maintenance Reminder,high,open,
CHK-120F507D,ACT-0058,define_success_metric,Define success metric for Equipment Maintenance Reminder,medium,open,
CHK-E2985EF2,ACT-0059,define_trigger,Define trigger condition for Staff Onboarding Checklist Automation,high,open,
CHK-1AFE4525,ACT-0059,assign_owner,Assign owner for Staff Onboarding Checklist Automation,high,open,
CHK-6E52B4CA,ACT-0059,define_success_metric,Define success metric for Staff Onboarding Checklist Automation,medium,open,
CHK-BD62FF52,ACT-0060,define_trigger,Define trigger condition for Quarterly Business Review Draft,high,open,
CHK-88BF5778,ACT-0060,assign_owner,Assign owner for Quarterly Business Review Draft,high,open,
CHK-D29FD3A3,ACT-0060,define_success_metric,Define success metric for Quarterly Business Review Draft,medium,open,
CHK-143F7EA5,ACT-0061,define_trigger,Define trigger condition for Key Person Risk Monitor,high,open,
CHK-850AA660,ACT-0061,assign_owner,Assign owner for Key Person Risk Monitor,high,open,
CHK-D106CAF0,ACT-0061,define_success_metric,Define success metric for Key Person Risk Monitor,medium,open,
CHK-6A197EE6,ACT-0062,define_trigger,Define trigger condition for Land Acquisition Pipeline Review,high,open,
CHK-9400156F,ACT-0062,assign_owner,Assign owner for Land Acquisition Pipeline Review,high,open,
CHK-936CA541,ACT-0062,define_success_metric,Define success metric for Land Acquisition Pipeline Review,medium,open,
CHK-FA0FEDE2,ACT-0063,define_trigger,Define trigger condition for Title Search Status Tracker,high,open,
CHK-34046557,ACT-0063,assign_owner,Assign owner for Title Search Status Tracker,high,open,
CHK-9F43A3AF,ACT-0063,define_success_metric,Define success metric for Title Search Status Tracker,medium,open,
CHK-46073651,ACT-0064,define_trigger,Define trigger condition for Survey Completion Monitor,high,open,
CHK-1EB09A56,ACT-0064,assign_owner,Assign owner for Survey Completion Monitor,high,open,
CHK-BEABEF68,ACT-0064,define_success_metric,Define success metric for Survey Completion Monitor,medium,open,
CHK-5DA9F49C,ACT-0065,define_trigger,Define trigger condition for Insurance Certificate Tracker,high,open,
CHK-D9860583,ACT-0065,assign_owner,Assign owner for Insurance Certificate Tracker,high,open,
CHK-E1713640,ACT-0065,define_success_metric,Define success metric for Insurance Certificate Tracker,medium,open,
CHK-DDF30DF9,ACT-0066,define_trigger,Define trigger condition for NDA Expiry Monitor,high,open,
CHK-11949443,ACT-0066,assign_owner,Assign owner for NDA Expiry Monitor,high,open,
CHK-23B3E914,ACT-0066,define_success_metric,Define success metric for NDA Expiry Monitor,medium,open,
CHK-8CDF332C,ACT-0067,define_trigger,Define trigger condition for LOI Conversion Follow-Up,high,open,
CHK-305B12CA,ACT-0067,assign_owner,Assign owner for LOI Conversion Follow-Up,high,open,
CHK-CDED34C9,ACT-0067,define_success_metric,Define success metric for LOI Conversion Follow-Up,medium,open,
CHK-405FA553,ACT-0068,define_trigger,Define trigger condition for Regulatory Change Digest,high,open,
CHK-00CF69D1,ACT-0068,assign_owner,Assign owner for Regulatory Change Digest,high,open,
CHK-6BF36DB0,ACT-0068,define_success_metric,Define success metric for Regulatory Change Digest,medium,open,
CHK-5A8F34E3,ACT-0069,define_trigger,Define trigger condition for Meeting Recorder and Transcript Intake,high,open,
CHK-297DA499,ACT-0069,assign_owner,Assign owner for Meeting Recorder and Transcript Intake,high,open,
CHK-B791CA7C,ACT-0069,define_success_metric,Define success metric for Meeting Recorder and Transcript Intake,medium,open,
CHK-14146062,ACT-0070,define_trigger,Define trigger condition for Staff Weekly Update Request,high,open,
CHK-4C0AD204,ACT-0070,assign_owner,Assign owner for Staff Weekly Update Request,high,open,
CHK-51B69C8B,ACT-0070,define_success_metric,Define success metric for Staff Weekly Update Request,medium,open,
CHK-58C23DA1,ACT-0071,define_trigger,Define trigger condition for Project Budget vs Actual Monthly Report,high,open,
CHK-067D7C8F,ACT-0071,assign_owner,Assign owner for Project Budget vs Actual Monthly Report,high,open,
CHK-0A3CB894,ACT-0071,define_success_metric,Define success metric for Project Budget vs Actual Monthly Report,medium,open,
CHK-10572AD1,ACT-0072,define_trigger,Define trigger condition for Debt Covenant Monitor,high,open,
CHK-088E4CBA,ACT-0072,assign_owner,Assign owner for Debt Covenant Monitor,high,open,
CHK-218EAA5D,ACT-0072,define_success_metric,Define success metric for Debt Covenant Monitor,medium,open,
CHK-403D84EC,ACT-0073,define_trigger,Define trigger condition for Lender Communication Follow-Up,high,open,
CHK-BF616111,ACT-0073,assign_owner,Assign owner for Lender Communication Follow-Up,high,open,
CHK-D0F157A3,ACT-0073,define_success_metric,Define success metric for Lender Communication Follow-Up,medium,open,
CHK-D7CE5D78,ACT-0074,define_trigger,Define trigger condition for Environmental Study Status Tracker,high,open,
CHK-8CCEC76C,ACT-0074,assign_owner,Assign owner for Environmental Study Status Tracker,high,open,
CHK-6A86E30A,ACT-0074,define_success_metric,Define success metric for Environmental Study Status Tracker,medium,open,
CHK-09278E4B,ACT-0075,define_trigger,Define trigger condition for EPC Contract Milestone Monitor,high,open,
CHK-31CAE179,ACT-0075,assign_owner,Assign owner for EPC Contract Milestone Monitor,high,open,
CHK-68C2712F,ACT-0075,define_success_metric,Define success metric for EPC Contract Milestone Monitor,medium,open,
CHK-9EC0C00D,ACT-0076,define_trigger,Define trigger condition for Annual Review Reminder,high,open,
CHK-8D3D9B5E,ACT-0076,assign_owner,Assign owner for Annual Review Reminder,high,open,
CHK-65DCEC11,ACT-0076,define_success_metric,Define success metric for Annual Review Reminder,medium,open,
CHK-BBCB7520,ACT-0077,define_trigger,Define trigger condition for Holiday Coverage Planning,high,open,
CHK-364BAAC6,ACT-0077,assign_owner,Assign owner for Holiday Coverage Planning,high,open,
CHK-E2B82590,ACT-0077,define_success_metric,Define success metric for Holiday Coverage Planning,medium,open,
CHK-F7A4F616,ACT-0078,define_trigger,Define trigger condition for Strategic Initiative Progress Tracker,high,open,
CHK-1644BDA3,ACT-0078,assign_owner,Assign owner for Strategic Initiative Progress Tracker,high,open,
CHK-86DB4565,ACT-0078,define_success_metric,Define success metric for Strategic Initiative Progress Tracker,medium,open,
CHK-62CBB785,ACT-0079,define_trigger,Define trigger condition for Partnership Agreement Renewal Tracker,high,open,
CHK-A8F9C9F5,ACT-0079,assign_owner,Assign owner for Partnership Agreement Renewal Tracker,high,open,
CHK-6105D263,ACT-0079,define_success_metric,Define success metric for Partnership Agreement Renewal Tracker,medium,open,
CHK-88FA0D0B,ACT-0080,define_trigger,Define trigger condition for Tax Deadline Calendar,high,open,
CHK-64F97C33,ACT-0080,assign_owner,Assign owner for Tax Deadline Calendar,high,open,
CHK-6B3B1E1E,ACT-0080,define_success_metric,Define success metric for Tax Deadline Calendar,medium,open,
CHK-7667E7A8,ACT-0081,define_trigger,Define trigger condition for Interconnection Study Follow-Up,high,open,
CHK-9876ED54,ACT-0081,assign_owner,Assign owner for Interconnection Study Follow-Up,high,open,
CHK-699B7638,ACT-0081,define_success_metric,Define success metric for Interconnection Study Follow-Up,medium,open,
CHK-D6474F52,ACT-0082,define_trigger,Define trigger condition for Energy Storage Project Tracker,high,open,
CHK-FD586FC2,ACT-0082,assign_owner,Assign owner for Energy Storage Project Tracker,high,open,
CHK-2FB63AC9,ACT-0082,define_success_metric,Define success metric for Energy Storage Project Tracker,medium,open,
CHK-CC2F79FF,ACT-0083,define_trigger,Define trigger condition for Landowner Communication Log,high,open,
CHK-A18A39AE,ACT-0083,assign_owner,Assign owner for Landowner Communication Log,high,open,
CHK-2B46C9A3,ACT-0083,define_success_metric,Define success metric for Landowner Communication Log,medium,open,
CHK-EE00C2BA,ACT-0084,define_trigger,Define trigger condition for Site Control Expiry Tracker,high,open,
CHK-88D3B34C,ACT-0084,assign_owner,Assign owner for Site Control Expiry Tracker,high,open,
CHK-D5719470,ACT-0084,define_success_metric,Define success metric for Site Control Expiry Tracker,medium,open,
CHK-7A04133D,ACT-0085,define_trigger,Define trigger condition for County Approval Status Monitor,high,open,
CHK-65443505,ACT-0085,assign_owner,Assign owner for County Approval Status Monitor,high,open,
CHK-13E7324F,ACT-0085,define_success_metric,Define success metric for County Approval Status Monitor,medium,open,
CHK-3A821824,ACT-0086,define_trigger,Define trigger condition for Market Pricing Comparison Generator,high,open,
CHK-BB1836C3,ACT-0086,assign_owner,Assign owner for Market Pricing Comparison Generator,high,open,
CHK-DC21AF27,ACT-0086,define_success_metric,Define success metric for Market Pricing Comparison Generator,medium,open,
CHK-61DEE6AE,ACT-0087,define_trigger,Define trigger condition for Proposal Version Control,high,open,
CHK-2C491A6C,ACT-0087,assign_owner,Assign owner for Proposal Version Control,high,open,
CHK-C6BE096B,ACT-0087,define_success_metric,Define success metric for Proposal Version Control,medium,open,
CHK-075F7272,ACT-0088,define_trigger,Define trigger condition for Meeting Cost Calculator,high,open,
CHK-0EE44B83,ACT-0088,assign_owner,Assign owner for Meeting Cost Calculator,high,open,
CHK-58666C19,ACT-0088,define_success_metric,Define success metric for Meeting Cost Calculator,medium,open,
CHK-47999670,ACT-0089,define_trigger,Define trigger condition for Communication Tone Review,high,open,
CHK-189D38B6,ACT-0089,assign_owner,Assign owner for Communication Tone Review,high,open,
CHK-B2326098,ACT-0089,define_success_metric,Define success metric for Communication Tone Review,medium,open,
CHK-6402EF71,ACT-0090,define_trigger,Define trigger condition for Legal Hold Notification,high,open,
CHK-F0DFA785,ACT-0090,assign_owner,Assign owner for Legal Hold Notification,high,open,
CHK-DE8145DE,ACT-0090,define_success_metric,Define success metric for Legal Hold Notification,medium,open,
CHK-6107E1D2,ACT-0091,define_trigger,Define trigger condition for Data Room Access Log Review,high,open,
CHK-7EB26F1C,ACT-0091,assign_owner,Assign owner for Data Room Access Log Review,high,open,
CHK-60A997D9,ACT-0091,define_success_metric,Define success metric for Data Room Access Log Review,medium,open,
CHK-14AEAAE4,ACT-0092,define_trigger,Define trigger condition for Bank Reconciliation Reminder,high,open,
CHK-0B9C807C,ACT-0092,assign_owner,Assign owner for Bank Reconciliation Reminder,high,open,
CHK-ADFEE1E4,ACT-0092,define_success_metric,Define success metric for Bank Reconciliation Reminder,medium,open,
CHK-97C6F20A,ACT-0093,define_trigger,Define trigger condition for Counterparty Credit Check,high,open,
CHK-107A831B,ACT-0093,assign_owner,Assign owner for Counterparty Credit Check,high,open,
CHK-4BBC1D3D,ACT-0093,define_success_metric,Define success metric for Counterparty Credit Check,medium,open,
CHK-8177D8AC,ACT-0094,define_trigger,Define trigger condition for Project IRR Recalculation Trigger,high,open,
CHK-C07CC6D9,ACT-0094,assign_owner,Assign owner for Project IRR Recalculation Trigger,high,open,
CHK-ADB2B905,ACT-0094,define_success_metric,Define success metric for Project IRR Recalculation Trigger,medium,open,
CHK-DB368EC2,ACT-0095,define_trigger,Define trigger condition for Staff Capacity Utilization Report,high,open,
CHK-72BD16D3,ACT-0095,assign_owner,Assign owner for Staff Capacity Utilization Report,high,open,
CHK-A2DC6AD7,ACT-0095,define_success_metric,Define success metric for Staff Capacity Utilization Report,medium,open,
CHK-A8F4227B,ACT-0096,define_trigger,Define trigger condition for Press Release Draft,high,open,
CHK-EEB02CF2,ACT-0096,assign_owner,Assign owner for Press Release Draft,high,open,
CHK-D5046DF7,ACT-0096,define_success_metric,Define success metric for Press Release Draft,medium,open,
CHK-BAB55CC7,ACT-0097,define_trigger,Define trigger condition for RFP Response Draft,high,open,
CHK-8DEFC3E5,ACT-0097,assign_owner,Assign owner for RFP Response Draft,high,open,
CHK-88E1B745,ACT-0097,define_success_metric,Define success metric for RFP Response Draft,medium,open,
CHK-6FE9EDA0,ACT-0098,define_trigger,Define trigger condition for Lessons Learned Capture,high,open,
CHK-7142D3E9,ACT-0098,assign_owner,Assign owner for Lessons Learned Capture,high,open,
CHK-24A1EDB5,ACT-0098,define_success_metric,Define success metric for Lessons Learned Capture,medium,open,
CHK-2857E041,ACT-0099,define_trigger,Define trigger condition for Vendor Contract Renewal Tracker,high,open,
CHK-ADB9D7BC,ACT-0099,assign_owner,Assign owner for Vendor Contract Renewal Tracker,high,open,
CHK-A35B9DFB,ACT-0099,define_success_metric,Define success metric for Vendor Contract Renewal Tracker,medium,open,
CHK-72C199C3,ACT-0100,define_trigger,Define trigger condition for Knowledge Base Gap Detection,high,open,
CHK-32D254C2,ACT-0100,assign_owner,Assign owner for Knowledge Base Gap Detection,high,open,
CHK-F03AD792,ACT-0100,define_success_metric,Define success metric for Knowledge Base Gap Detection,medium,open,
